song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Does Anybody Know I'm Here,The Dells,64,66.0,64,3,24e2fe2f-479a-48b7-b9e0-1461b716da26,not_danceable,rhy,male,not_aggressive,voice,87.4053573608,G,0.617611587048,happy
Rockin' In The Same Old Boat,Bobby Bland,66,58.0,58,9,05264be7-2979-47c8-b5c5-07d0f5dd73a1,not_danceable,jaz,male,not_aggressive,voice,151.601699829,A#,0.183484718204,not_happy
You Showed Me,The Turtles,72,90.0,72,2,416855f9-42b3-49d8-a27b-8e6ad4e0ecbf,not_danceable,jaz,male,not_aggressive,voice,91.157913208,C,0.521225094795,happy
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",76,77.0,76,3,8312083e-eeaa-4a59-9618-488b798da9d9,not_danceable,rhy,female,not_aggressive,instrumental,105.368118286,A#,0.752590715885,not_happy
Rain In My Heart,Frank Sinatra,81,82.0,81,2,89039afe-bc2c-460e-b22c-f117d77c70f7,not_danceable,jaz,male,not_aggressive,voice,172.26574707,B,0.195027917624,not_happy
Things I'd Like To Say,New Colony Six,82,96.0,82,3,87ce3480-1dcc-4a5c-b0ac-f53ed2eaedce,not_danceable,pop,male,not_aggressive,voice,96.2837524414,D,0.87509483099,not_happy
The Thought Of Loving You,The Crystal Mansion,84,95.0,84,4,5d015412-a8b0-475a-bed9-6aeb795dc7de,not_danceable,roc,female,not_aggressive,voice,125.300460815,C#,0.975334465504,happy
She's A Lady,John Sebastian,85,89.0,85,2,e7b16410-6782-46e3-bafd-f274e7495a94,not_danceable,cla,female,aggressive,voice,140.083221436,A,0.802123367786,happy
Tit For Tat (Ain't No Taking Back),James Brown,87,86.0,86,4,28780fbd-1f12-4e9a-9515-ac63312648af,not_danceable,rhy,male,not_aggressive,voice,131.706069946,D,0.94475466013,happy
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis,90,92.0,90,2,a4549591-4ff8-44b9-8b0a-df3b488fccce,danceable,jaz,male,not_aggressive,voice,106.313911438,A#,0.847557008266,happy
Games People Play,Joe South,91,,91,1,aecfd68c-e0bb-4e73-8ecc-934cfabfd29a,danceable,rhy,male,not_aggressive,voice,85.1200790405,A,0.865149378777,happy
If I Only Had Time,Nick DeCaro,95,,95,1,5f88cfca-faa5-45ff-941f-b89f041bd3cb,not_danceable,cla,female,not_aggressive,voice,154.446640015,C#,0.298123925924,happy
I Can't Help It (If I'm Still In Love With You),Al Martino,100,97.0,97,3,6486ef1e-54e9-4eac-b263-8de6bd5deb33,not_danceable,rhy,male,not_aggressive,voice,95.6112289429,A#,0.805548071861,not_happy
Soulful Strut,Young-Holt Unlimited,3,4.0,3,8,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c,not_danceable,rhy,male,not_aggressive,voice,89.6971130371,A#,0.872257351875,happy
For Once In My Life,Stevie Wonder,7,7.0,2,12,9efdb106-4dde-4df8-9483-e1bfd0093489,danceable,jaz,female,not_aggressive,voice,108.897949219,A#,0.827656745911,not_happy
Touch Me,The Doors,8,18.0,8,4,e1f18237-dc4f-416c-aa47-abc33286f326,not_danceable,roc,female,not_aggressive,instrumental,110.891235352,F,0.760567486286,happy
Going Up The Country,Canned Heat,12,12.0,12,7,18db6336-5bb7-4156-963c-9c9a71172821,not_danceable,rhy,female,not_aggressive,instrumental,162.41696167,A#,0.86390799284,happy
I Love How You Love Me,Bobby Vinton,19,10.0,9,12,0d37948f-2c4b-490d-b65d-ce77f1585285,not_danceable,pop,male,not_aggressive,voice,152.832504272,A#,0.77354490757,happy
California Soul,The 5th Dimension,29,34.0,29,5,7e92a2b9-0231-421a-a17d-e9eac814758b,not_danceable,roc,male,not_aggressive,voice,98.9868011475,C,0.93959325552,not_happy
